accel_mean,accel_std,accel_min,accel_max,accel_range,gyro_mean,gyro_std,gyro_max,n_samples,subject,group,activity_code,is_fall
270.2972428293528,55.019034962863415,154.4312144613258,523.7337109638829,369.3024965025571,620.4764949696822,232.62413104149954,1581.4180345500047,19999,SA01,SA,D01,False
279.66909400732,100.12349970353854,113.96929411029973,719.4699437780566,605.5006496677569,934.1372361863274,375.07077755348837,2504.598570629633,20000,SA01,SA,D02,False
318.5282544978433,201.62900250035872,5.0,954.9560199297139,949.9560199297139,1492.0062662434473,421.01982367209644,3494.674519894521,20000,SA01,SA,D03,False
371.05300675262,242.14114220114988,14.45683229480096,1246.0967057174976,1231.6398734226966,1945.5047033629037,659.6626877699712,5994.9107583015775,20000,SA01,SA,D04,False
266.58078546510393,44.80734717075191,160.80111939908875,522.4997607654955,361.6986413664067,427.2623844629429,322.74872760597293,1886.5335936579554,5000,SA01,SA,D05,False
265.83447994486056,39.4583941059265,121.4495780149112,467.4622979449787,346.0127199300675,424.49209918224796,283.54752894723475,1624.9504607833435,5000,SA01,SA,D05,False
265.94665249293314,38.51365067168593,178.08705736240353,503.9216208895983,325.83456352719475,425.10752508415504,299.3660597401939,1930.8679395546449,5000,SA01,SA,D05,False
266.180842392495,40.051196772310064,178.19090885900997,498.07128003931325,319.8803711803033,415.3365613941989,265.4229233410141,1806.2364186340612,5000,SA01,SA,D05,False
265.92687919085165,37.828022888822986,172.51666586159146,595.7197327602972,423.20306689870574,422.0279489874689,288.76019179087524,2082.9721553587797,5000,SA01,SA,D05,False
276.72085127234914,112.99803707314082,19.209372712298546,1159.3230783521908,1140.1137056398923,460.3698557512419,611.7650261375046,3407.24566182129,5000,SA01,SA,D06,False
278.4801635947478,105.58688840212594,10.816653826391969,911.0021953870364,900.1855415606444,464.88044931393375,651.3349515337658,3843.8237472600117,5000,SA01,SA,D06,False
278.7078196956917,104.67958541948155,7.54983443527075,910.241176831723,902.6913423964522,427.6266213715682,582.0680521535304,2776.945264134675,5000,SA01,SA,D06,False
278.45549490022614,103.89538493153653,24.351591323771842,1081.8119060169379,1057.460314693166,425.7659883617494,563.1998211665688,4513.82830865331,5000,SA01,SA,D06,False
278.6476167597803,109.30486075473273,17.97220075561143,1097.124878944963,1079.1526781893515,462.27327256453856,594.9900194937148,2728.1264633443957,5000,SA01,SA,D06,False
261.75532840046765,9.242536493319863,232.8819443409042,301.05647310762146,68.17452876671726,160.18173787812856,181.13957047998431,908.0925063009826,2400,SA01,SA,D07,False
262.7813572598368,10.013909959400541,238.52463185172303,310.4110178456944,71.88638599397137,185.57450557136946,234.12374919277582,1429.8846107291315,2400,SA01,SA,D07,False
262.566715686361,9.953571938855157,228.8121500270473,324.8768997635874,96.06474973654011,181.1509297474886,226.1785718835418,1113.1841716445667,2400,SA01,SA,D07,False
263.06998105924885,9.682025846725894,241.94627502815578,312.1153632873589,70.16908825920311,200.83342930156115,248.92657071375726,1346.536297319905,2400,SA01,SA,D07,False
